Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Actionneur,Classe et type IFC,,Toutes,,,,,Moteur de volet/store,IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Ferme-porte,IfcActuatorType.HANDOPERATEDACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Ferme porte motorisé (ouvre-porte),IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Contact magnétique (gâche ou cale-porte),IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Serrure motorisée,IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Serrure mécanique,IfcActuatorType.HANDOPERATEDACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Moteur air comprimé exutoire de fumée,IfcActuatorType.PNEUMATICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Moteur électrique exutoire de fumée,IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,Serrure magnétique,IfcActuatorType.ELECTRICACTUATOR,Electrical Equipment,,
Actionneur,Classe et type IFC,,Toutes,,,,,"Mécanisme hydraulique (ouverture, support,etc.)",IfcActuatorType.HYDRAULICACTUATOR,Electrical Equipment,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcActuatorType.PredefinedType,Type IFC Predefined Type,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcActuatorType.PredefinedType,Type IFC Predefined Type,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcActuatorType.PredefinedType,Type IFC Predefined Type,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Actionneur,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
