Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur de volet/store;IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Ferme-porte;IfcActuatorType.HANDOPERATEDACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Ferme porte motorisé (ouvre-porte);IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Contact magnétique (gâche ou cale-porte);IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure motorisée;IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure mécanique;IfcActuatorType.HANDOPERATEDACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur air comprimé exutoire de fumée;IfcActuatorType.PNEUMATICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur électrique exutoire de fumée;IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure magnétique;IfcActuatorType.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Mécanisme hydraulique (ouverture, support,etc.);IfcActuatorType.HYDRAULICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Type IFC ;IfcActuatorType.PredefinedType;Type IFC Predefined Type;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Type IFC ;IfcActuatorType.PredefinedType;Type IFC Predefined Type;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Type IFC ;IfcActuatorType.PredefinedType;Type IFC Predefined Type;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Nom objet ;IfcRoot.Name;IfcName;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Nom objet ;IfcRoot.Name;IfcName;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Nom objet ;IfcRoot.Name;IfcName;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Statut ;ePset_ActuatorTypeCommon.Status;Phase Created;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Statut ;ePset_ActuatorTypeCommon.Status;Phase Created;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Statut ;ePset_ActuatorTypeCommon.Status;Phase Created;Oui
Actionneur;Documentation;Descriptifs;PDE;Prescriptions;;;Oui
Actionneur;Documentation;Descriptifs;EXE;Prescriptions;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;Oui
Actionneur;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;Oui
Actionneur;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;Oui
Actionneur;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;Oui
Actionneur;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;Oui
Actionneur;Classification;Uniformat II 2010;Toutes;"D8010.10 – Integrated Automation Control of Equipment
D8010.20 – Integrated Automation Control of Conveying
Equipment
D8010.30 – Integrated Automation Control of Fire-Suppression
Systems
D8010.40 – Integrated Automation Control of Plumbing Systems
D8010.50 – Integrated Automation Control of HVAC Systems
D8010.60 – Integrated Automation Control of Electrical Systems
D8010.70 – Integrated Automation Control of Communication Systems
D8010.80 – Integrated Automation Control of Electronic Safety
and Security Systems
D8010.90 – Integrated Automation Supplementary Components";;;Oui
Actionneur;Classification;DIN276;Toutes;"KG 466 – hydraulikanlagen
KG 481 – Automationseinrichtungen";;;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Amplificateur de puissance;IfcElectricApplianceType.USERDEFINED[AMPLIFIER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Amplificateur intégré;IfcElectricApplianceType.USERDEFINED[AMPLIFIER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Commutateur audio-vidéo;IfcElectricApplianceType.USERDEFINED[SWITCHER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Ecran;IfcElectricApplianceType.TV;Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur;IfcElectricApplianceType.USERDEFINED[SPEAKER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur d'alarme (incendie / alerte vocale);IfcElectricApplianceType.USERDEFINED[SPEAKER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Lecteur média;IfcElectricApplianceType.USERDEFINED[PLAYER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Téléviseur;IfcElectricApplianceType.TV;Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;TV;IfcElectricApplianceType.TV;Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Appareil photo;IfcElectricApplianceType.USERDEFINED[CAMERA];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Caméra;IfcElectricApplianceType.USERDEFINED[CAMERA];Communication Devices;Oui
