Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Version_IFC;Requis
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur de volet/store;IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Ferme-porte;IfcActuator.HANDOPERATEDACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Ferme porte motorisé (ouvre-porte);IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Contact magnétique (gâche ou cale-porte);IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure motorisée;IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure mécanique;IfcActuator.HANDOPERATEDACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur air comprimé exutoire de fumée;IfcActuator.PNEUMATICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Moteur électrique exutoire de fumée;IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Serrure magnétique;IfcActuator.ELECTRICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Classe et type IFC;Types IFC;Toutes;Mécanisme hydraulique (ouverture, support,etc.);IfcActuator.HYDRAULICACTUATOR;Electrical Equipment [BIMids Classification:Actuator];IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Classe IFC (a);IFC Class;Export Type to IFC As;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Type IFC (a);IFC Type;Type IFC Predefined Type;IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
Actionneur;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé (a);IfcObject.ObjectType;Objecttype (IDS will not check it);IFC4;Oui
